lon,lat,date,SARS-CoV-2,Omicron_variant,scolor,ocolor,srad,orad,datenum
120.98171,14.589103,2022/7/8,"17,300","26,000",2,2,4,4,20220708
120.98171,14.589103,2022/7/22,"161,000","52,200",3,3,5,4,20220722
120.98171,14.589103,2022/8/5,"43,800","12,400",1,1,4,4,20220805
120.98171,14.589103,2022/8/19,"64,000",　,3,3,4,　,20220819
120.98171,14.589103,2022/9/2,"87,600","20,300",3,,4,4,20220902
120.98171,14.589103,2022/9/14,"54,100","12,200",1,1,4,4,20220914
120.98171,14.589103,2022/9/28,"26,400","10,100",1,1,4,4,20220928
120.98171,14.589103,2022/10/12,"45,000","11,300",3,3,4,4,20221012
120.98171,14.589103,2022/10/26,"36,700","11,600",1,2,4,4,20221026
120.98171,14.589103,2022/11/14,　,　,3,3,　,　,20221114
120.98171,14.589103,2022/11/28,"44,000",　,,,4,　,20221128
120.98171,14.589103,2022/12/7,"62,900","5,960",3,,4,3,20221207
120.98171,14.589103,2022/12/14,"140,000",　,3,3,5,　,20221214
120.98171,14.589103,2023/1/11, ,　,3,,,,20230111
120.98171,14.589103,2023/1/13,"39,900", ,,,4,,20230113
120.98171,14.589103,2023/2/10,"17,200", ,1,,4,,20230210
120.98171,14.589103,2023/2/27,"13,800", ,1,,4,,20230227
